Район RU;Район BY
Барановичский;Баранавіцкі раён
Березовский;Бярозаўскі раён
Берёзовский;Бярозаўскі раён
Брестский;Брэсцкі раён
Ганцевичский;Ганцавіцкі раён
Дрогичинский;Драгічынскі раён
Жабинковский;Жабінкаўскі раён
Ивановский;Іванаўскі раён
Ивацевичский;Івацэвіцкі раён
Каменецкий;Камянецкі раён
Кобринский;Кобрынскі раён
Лунинецкий;Лунінецкі раён
Ляховичский;Ляхавіцкі раён
Малоритский;Маларыцкі раён
Пинский;Пінскі раён
Пружанский;Пружанскі раён
Столинский;Столінскі раён
Бешенковичский;Бешанковіцкі раён
Браславский;Браслаўскі раён
Верхнедвинский;Верхнядзвінскі раён
Витебский;Віцебскі раён
Глубокский;Глыбоцкі раён
Городокский;Гарадоцкі раён
Докшицкий;Докшыцкі раён
Дубровенский;Дубровенскі раён
Лепельский;Лепельскі раён
Лиозненский;Лёзненскі раён
Миорский;Міёрскі раён
Орша;Аршанскі раён
Оршанский;Аршанскі раён
Полоцкий;Полацкі раён
Поставский;Пастаўскі раён
Россонский;Расонскі раён
Сенненский;Сенненскі раён
Толочинский;Талачынскі раён
Ушачский;Ушацкі раён
Чашникский;Чашніцкі раён
Шарковщинский;Шаркаўшчы́нскі раён
Шумилинский;Шумілінскі раён
Брагинский;Брагінскі раён
Буда-Кошелевский;Буда-Кашалёўскі раён
Ветковский;Веткаўскі раён
Гомельский;Гомельскі раён
Добрушский;Добрушскі раён
Ельский;Ельскі раён
Житковичский;Жыткавіцкі раён
Жлобинский;Жлобінскі раён
Калинковичский;Калінкавіцкі раён
Кормянский;Кармянскі раён
Лельчицкий;Лельчыцкі раён
Лоевский;Лоеўскі раён
Мозырский;Мазырскі раён
Наровлянский;Нараўлянскі раён
Октябрьский;Акцябрскі раён
Петриковский;Петрыкаўскі раён
Речицкий;Рэчыцкі раён
Рогачевский;Рагачоўскі раён
Светлогорский;Светлагорскі раён
Хойникский;Хойніцкі раён
Чечерский;Чачэрскі раён
Белыничский;Бялыніцкі раён
Берестовицкий;Бераставіцкі раён
Волковысский;Ваўкавыскі раён
Вороновский;Воранаўскі раён
Гродненский;Гродзенскі раён
Дятловский;Дзятлаўскі раён
Зельвенский;Зэльвенскі раён
Ивьевский;Іўеўскі раён
Кореличский;Карэліцкі раён
Лидский;Лідскі раён
Мостовский;Мастоўскі раён
Новогрудский;Навагрудскі раён
Островецкий;Астравецкі раён
Ошмянский;Ашмянскі раён
Свислочский;Свіслацкі раён
Слонимский;Слонімскі раён
Сморгонский;Смаргонскі раён
Щучинский;Шчучынскі раён
Березинский;Бярэзінскі раён
Борисовский;Барысаўскі раён
Вилейский;Вілейскі раён
Воложинский;Валожынскі раён
Дзержинский;Дзяржынскі раён
Клецкий;Клецкі раён
Копыльский;Капыльскі раён
Крупский;Крупскі раён
Логойский;Лагойскі раён
Любанский;Любанскі раён
Минский;Мінскі раён
Молодечненский;Маладзечанскі раён
Мядельский;Мядзельскі раён
Несвижский;Нясвіжскі раён
Пуховичский;Пухавіцкі раён
Слуцкий;Слуцкі раён
Смолевичский;Смалявіцкі раён
Солигорский;Салігорскі раён
Стародорожский;Старадарожскі раён
Столбцовский;Стаўбцоўскі раён
Узденский;Уздзенскі раён
Червенский;Чэрвеньскі раён
Бобруйский;Бабруйскі раён
Быховский;Быхаўскі раён
Глусский;Глускі раён
Горецкий;Горацкі раён
Дрибинский;Дрыбінскі раён
Кировский;Кіраўскі раён
Климовичский;Клімавіцкі раён
Кличевский;Клічаўскі раён
Костюковичский;Касцюковіцкі раён
Краснопольский;Краснапольскі раён
Кричевский;Крычаўскі раён
Круглянский;Круглянскі раён
Могилевский;Магілёўскі раён
Мстиславский;Мсціслаўскі раён
Осиповичский;Асіповіцкі раён
Славгородский;Слаўгарадскі раён
Хотимский;Хоцімскі раён
Чаусский;Чавускі раён
Чериковский;Чэрыкаўскі раён
Шкловский;Шклоўскі раён
Новополоцк;Полацкі раён
